date,open,close,high,low,vol,amount,date,code
2024-01-02,9.39,9.21,9.42,9.21,1158366.0,1075742208.0,2024-01-02,000001
2024-01-03,9.19,9.2,9.22,9.15,733610.0,673673600.0,2024-01-03,000001
2024-01-04,9.19,9.11,9.19,9.08,864194.0,787470080.0,2024-01-04,000001
2024-01-05,9.1,9.27,9.44,9.07,1991622.0,1852659712.0,2024-01-05,000001
2024-01-08,9.23,9.15,9.3,9.11,1121156.0,1029006528.0,2024-01-08,000001
2024-01-09,9.16,9.18,9.19,9.09,766193.0,700375744.0,2024-01-09,000001
2024-01-10,9.16,9.09,9.19,9.09,858620.0,783771136.0,2024-01-10,000001
2024-01-11,9.08,9.17,9.22,9.03,934686.0,853890240.0,2024-01-11,000001
2024-01-12,9.13,9.19,9.27,9.11,772582.0,711018240.0,2024-01-12,000001
2024-01-15,9.16,9.21,9.29,9.13,745132.0,685950976.0,2024-01-15,000001
2024-01-16,9.19,9.34,9.35,9.16,1438312.0,1334465408.0,2024-01-16,000001
2024-01-17,9.33,9.23,9.39,9.23,1482296.0,1380725120.0,2024-01-17,000001
2024-01-18,9.21,9.2,9.24,9.0,1755132.0,1597853696.0,2024-01-18,000001
2024-01-19,9.16,9.17,9.2,9.1,963981.0,881865024.0,2024-01-19,000001
2024-01-22,9.16,9.1,9.26,9.04,1580319.0,1449858304.0,2024-01-22,000001
2024-01-23,9.05,9.16,9.18,8.96,1135544.0,1030898432.0,2024-01-23,000001
2024-01-24,9.23,9.33,9.34,9.07,1759123.0,1620099328.0,2024-01-24,000001
2024-01-25,9.33,9.5,9.54,9.27,2162514.0,2037648384.0,2024-01-25,000001
2024-01-26,9.47,9.62,9.67,9.44,2272287.0,2172799744.0,2024-01-26,000001
2024-01-29,9.69,9.7,9.88,9.58,2376251.0,2312173312.0,2024-01-29,000001
2024-01-30,9.61,9.5,9.7,9.49,1579122.0,1515156608.0,2024-01-30,000001
2024-01-31,9.46,9.46,9.56,9.38,1357217.0,1286857344.0,2024-01-31,000001
2024-02-01,9.41,9.41,9.48,9.34,1055259.0,993481920.0,2024-02-01,000001
2024-02-02,9.42,9.27,9.47,9.07,1634214.0,1520605696.0,2024-02-02,000001
2024-02-05,9.19,9.38,9.43,9.11,1803591.0,1674566528.0,2024-02-05,000001
2024-02-06,9.3,9.68,9.68,9.29,1995409.0,1900324224.0,2024-02-06,000001
2024-02-07,9.62,9.61,9.67,9.48,2062015.0,1975435136.0,2024-02-07,000001
2024-02-08,9.58,9.67,9.67,9.52,1656813.0,1593505664.0,2024-02-08,000001
2024-02-19,9.76,9.81,9.81,9.65,1605242.0,1564088448.0,2024-02-19,000001
2024-02-20,9.79,9.82,9.84,9.73,1123564.0,1098987776.0,2024-02-20,000001
2024-02-21,9.78,10.8,10.8,9.77,5055284.0,5295259648.0,2024-02-21,000001
2024-02-22,10.65,10.9,10.91,10.62,4922325.0,5307736576.0,2024-02-22,000001
2024-02-23,10.88,10.85,11.24,10.84,3567479.0,3917316352.0,2024-02-23,000001
2024-02-26,10.78,10.53,10.88,10.5,2862609.0,3048205056.0,2024-02-26,000001
2024-02-27,10.49,10.5,10.6,10.46,1981905.0,2083027072.0,2024-02-27,000001
2024-02-28,10.51,10.49,10.7,10.4,3082692.0,3253340416.0,2024-02-28,000001
2024-02-29,10.42,10.59,10.59,10.41,1845344.0,1936020992.0,2024-02-29,000001
2024-03-01,10.59,10.49,10.6,10.43,1828102.0,1917689344.0,2024-03-01,000001
2024-03-04,10.45,10.33,10.5,10.32,1655929.0,1719562880.0,2024-03-04,000001
2024-03-05,10.3,10.43,10.47,10.26,1817319.0,1889144320.0,2024-03-05,000001
2024-03-06,10.4,10.33,10.45,10.33,1345640.0,1396940032.0,2024-03-06,000001
2024-03-07,10.33,10.38,10.64,10.33,2016165.0,2109589248.0,2024-03-07,000001
2024-03-08,10.35,10.38,10.44,10.3,1113974.0,1154491264.0,2024-03-08,000001
2024-03-11,10.38,10.47,10.47,10.34,1210673.0,1260211968.0,2024-03-11,000001
2024-03-12,10.48,10.56,10.59,10.41,1641262.0,1721999744.0,2024-03-12,000001
2024-03-13,10.53,10.33,10.55,10.3,1768039.0,1834654976.0,2024-03-13,000001
2024-03-14,10.3,10.23,10.38,10.2,1409399.0,1448499712.0,2024-03-14,000001
2024-03-15,10.55,10.6,10.75,10.5,3750208.0,3973799168.0,2024-03-15,000001
2024-03-18,10.56,10.54,10.61,10.49,1671396.0,1761249152.0,2024-03-18,000001
2024-03-19,10.53,10.4,10.54,10.39,1293215.0,1351069568.0,2024-03-19,000001
