date,open,close,high,low,vol,amount,date,code
2014-10-10,18.52,22.22,22.22,18.52,1014.0,2248668.0,2014-10-10,603456
2014-10-13,24.44,24.44,24.44,24.44,427.0,1043588.0,2014-10-13,603456
2014-10-14,26.88,26.88,26.88,26.88,626.0,1682688.0,2014-10-14,603456
2014-10-15,29.57,29.57,29.57,29.57,1078.0,3187646.0,2014-10-15,603456
2014-10-16,32.53,32.53,32.53,32.53,2660.0,8652980.0,2014-10-16,603456
2014-10-17,35.78,34.35,35.78,31.02,297957.0,1001374336.0,2014-10-17,603456
2014-10-20,32.88,33.44,34.33,32.71,126688.0,425539200.0,2014-10-20,603456
2014-10-21,33.43,35.66,36.66,33.43,184920.0,652055872.0,2014-10-21,603456
2014-10-22,35.0,35.37,36.8,34.99,130615.0,467615744.0,2014-10-22,603456
2014-10-23,34.8,33.28,34.97,33.0,104632.0,354882432.0,2014-10-23,603456
2014-10-24,33.28,32.81,33.53,32.53,71276.0,235253440.0,2014-10-24,603456
2014-10-27,32.65,33.03,33.49,32.22,64010.0,211742656.0,2014-10-27,603456
2014-10-28,33.18,33.65,33.97,32.82,64455.0,215681408.0,2014-10-28,603456
2014-10-29,33.75,35.37,35.88,33.74,99790.0,349529600.0,2014-10-29,603456
2014-10-30,35.05,36.3,37.5,34.85,106361.0,387485952.0,2014-10-30,603456
2014-10-31,36.1,38.16,38.5,35.88,94795.0,351405792.0,2014-10-31,603456
2014-11-03,37.8,37.78,38.95,37.4,90812.0,346796800.0,2014-11-03,603456
2014-11-04,37.8,38.93,40.77,37.6,85571.0,333793248.0,2014-11-04,603456
2014-11-05,38.45,38.74,39.85,38.3,54901.0,214526720.0,2014-11-05,603456
2014-11-06,38.5,40.24,40.6,38.45,63221.0,251586640.0,2014-11-06,603456
2014-11-07,40.55,39.65,42.47,39.16,82291.0,336838496.0,2014-11-07,603456
2014-11-10,39.65,39.96,40.3,38.33,74399.0,292932192.0,2014-11-10,603456
2014-11-11,39.8,38.21,39.8,37.41,74147.0,286163040.0,2014-11-11,603456
2014-11-12,37.83,41.03,41.5,37.58,97915.0,387725824.0,2014-11-12,603456
2014-11-13,40.0,39.45,41.47,39.02,81494.0,326065696.0,2014-11-13,603456
2014-11-14,39.0,36.21,39.45,35.9,85796.0,317977056.0,2014-11-14,603456
2014-11-17,36.21,37.81,37.9,35.58,60733.0,225286128.0,2014-11-17,603456
2014-11-18,37.8,37.3,37.96,36.66,39226.0,145687744.0,2014-11-18,603456
2014-11-19,37.19,36.8,37.31,36.25,34630.0,127276048.0,2014-11-19,603456
2014-11-20,36.4,37.42,37.8,36.15,38901.0,143996560.0,2014-11-20,603456
2014-11-21,37.16,37.39,37.91,37.0,36877.0,138329552.0,2014-11-21,603456
2014-11-24,37.6,37.33,37.8,36.96,38303.0,143259472.0,2014-11-24,603456
2014-11-25,37.08,36.64,37.31,35.8,47760.0,173921040.0,2014-11-25,603456
2014-11-26,36.66,36.82,36.87,36.09,31226.0,113814944.0,2014-11-26,603456
2014-11-27,37.01,37.91,38.3,37.01,47864.0,180912560.0,2014-11-27,603456
2014-11-28,37.77,37.65,38.56,37.05,37138.0,140408176.0,2014-11-28,603456
2014-12-01,37.95,37.16,37.95,36.48,37970.0,140098736.0,2014-12-01,603456
2014-12-02,37.2,38.15,38.77,37.03,49080.0,187141568.0,2014-12-02,603456
2014-12-03,38.21,38.06,38.49,37.11,34064.0,128395552.0,2014-12-03,603456
2014-12-04,38.2,37.99,38.85,37.8,47712.0,182565168.0,2014-12-04,603456
2014-12-05,37.71,36.36,37.74,36.18,48814.0,179559840.0,2014-12-05,603456
2014-12-08,35.89,34.47,35.9,34.36,53574.0,186818032.0,2014-12-08,603456
2014-12-09,34.35,31.97,34.36,31.59,54077.0,180081600.0,2014-12-09,603456
2014-12-10,31.62,33.34,33.57,31.61,24541.0,80868848.0,2014-12-10,603456
2014-12-11,33.09,33.85,33.87,32.87,18808.0,63120872.0,2014-12-11,603456
2014-12-12,33.92,33.8,34.27,33.57,17931.0,60790380.0,2014-12-12,603456
2014-12-15,33.38,34.86,34.95,33.38,26380.0,90270616.0,2014-12-15,603456
2014-12-16,34.58,34.53,35.05,34.45,19504.0,67839472.0,2014-12-16,603456
2014-12-17,34.43,34.34,34.7,33.2,29744.0,101152984.0,2014-12-17,603456
2014-12-18,33.71,33.7,34.3,33.69,11782.0,39880496.0,2014-12-18,603456
2014-12-19,33.31,32.22,33.58,31.71,28158.0,90730912.0,2014-12-19,603456
2014-12-22,31.77,31.32,31.87,29.91,34263.0,105762376.0,2014-12-22,603456
2014-12-23,31.17,32.18,32.65,30.51,16155.0,51945396.0,2014-12-23,603456
2014-12-24,32.15,33.04,33.1,32.15,15164.0,49476868.0,2014-12-24,603456
2014-12-25,33.04,33.57,34.1,32.8,18787.0,63009784.0,2014-12-25,603456
2014-12-26,33.36,33.91,34.47,33.0,19886.0,67532160.0,2014-12-26,603456
2014-12-29,33.89,32.27,33.89,32.01,18189.0,59000568.0,2014-12-29,603456
2014-12-30,32.32,32.83,33.95,32.0,21237.0,70734608.0,2014-12-30,603456
2014-12-31,32.63,32.64,32.9,31.81,11744.0,37924584.0,2014-12-31,603456
2015-01-05,32.32,32.31,32.58,31.81,8605.0,27679462.0,2015-01-05,603456
